gvkey,ceoname,directorid,execid
174744,Ralph Schlosstein,140592,27718
175007,Andrew Levy,552380,36433
175263,Hikmet Ersek,502258,34266
175307,Jordan Kaplan,515707,47713
175376,Jeffery Housenbold,552986,50819
175404,Jim Hughes,332806,44576
176268,Phil Hawkins,180753,49542
176282,Greg Ebel,513374,31206
176362,Wahid Nawabi,1138544,43628
176404,Glenn Britt,181583,35664
176404,Robert Marcus,7973,35665
176701,Thomas Peterffy,602789,40427
177088,Steve Schwarzman,542717,64382
177267,Tom Lynch,35288,24546
177780,Gian Fulgoni,345938,493
177884,Timothy A. Leach,596455,11544
178015,Christine Day,343730,64384
178015,Laurent Potdevin,1357096,64385
178704,Mary Dillon,487099,41269
179027,John Bardis,796520,46641
179437,Susan Story,535729,48903
179441,Joe Capper,837389,50207
179621,André Calantzopoulos,36791,32598
179700,Larry D. Young,206346,17685
180167,Kenneth W. Lowe,51257,21126
180402,Mindy Grossman,36223,23474
180405,Bobby Kotick,69696,22978
180423,Doug Lebda,450263,29995
180635,Colin Marshall,1055519,42369
182308,Tarek Shreif,1068298,42372
182387,Matthew Roberts,372733,43341
183257,Kieran T. Gallahue,326270,27254
183366,Mark Hoplamazian,1055065,64406
183736,Aaron Jagdfeld,1047333,58031
183920,Tim Armstrong,765524,37968
183920,Susan Lyne,272521,46170
184323,Michael Weiss,310434,2785
184392,Steve Streit,1091479,45131
184725,Rick Clemmer,82157,15587
184996,Elon Musk,1090701,59417
187128,Rick Muncrief,551643,47762
187164,Mark Mason,535003,50351
187406,Joshua Sapan,549992,43348
189459,David Mark Rubenstein,745142,64649
191255,Steve Weisz,38631,42328
199356,Steve Kaufer,895197,43350
258869,Doug Bauer,207383,48190
260774,Bob Sulentic,272769,31112
264391,Harvey Kanter,496101,32189
